,name,address_1,address_2,post_town,postcode,sic_code_1,sic_code_2,lat,long
647576,MARIA’S CAFE LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
675422,MIDNIGHT DELIVERY SM LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
675423,MIDNIGHT DELIVERY SR LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
694065,MOTION FOODS LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
708043,NAJAT HOLDINGS LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
729327,NOIR ESPRESSO LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
729505,NOMAD BITES LTD,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
730396,NOOR FOODSERVICE LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
745904,OLIVE FOOD LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
788400,PIDE LONDON LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
818492,PUDZ DESSERTS LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
872265,RUMI RESTAURANT LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
954317,STEAMIN' MUGS LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
983629,TASHREEB LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
984018,TASTY BITES SX LTD,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
999425,THE COFFEE HOUSE GROUP LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
1007653,THE LONDON DESSERTS COMPANY LIMITED,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,,51.514897,-0.123615
1014866,THE SWEET LOUNGE LTD,71-75 SHELTON STREET,,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
1016084,THE VEGAN JUNK FOOD CO LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.514897,-0.123615
1070717,VENECIA LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,56290 - Other food services,51.514897,-0.123615
1117162,YALLA HUB LTD,71-75 SHELTON STREET,COVENT GARDEN,LONDON,WC2H9JQ,56102 - Unlicensed restaurants and cafes,85590 - Other education n.e.c.,51.514897,-0.123615
1101836,WILD FOOD CAFE UN LTD,"14, 1ST FLOOR",NEAL'S YARD,LONDON,WC2H9DP,56102 - Unlicensed restaurants and cafes,,51.514561,-0.126364
201687,CASUAL DAYS LTD,61 ENDELL STREET,,LONDON,WC2H9AJ,56102 - Unlicensed restaurants and cafes,68100 - Buying and selling of own real estate,51.515018,-0.125711
893078,SCOOP FINE ITALIAN GELATO LIMITED,40 SHORT GARDENS,,LONDON,WC2H9AB,56102 - Unlicensed restaurants and cafes,,51.514561,-0.125197
1020809,THOSE COFFEE SHOPS LTD,SOVEREIGN HOUSE,212-224 SHAFTESBURY AVENUE,LONDON,WC2H8HQ,56102 - Unlicensed restaurants and cafes,,51.516302,-0.126105
532800,JCCT LONDON LTD,4-8 NEWPORT PLACE,,LONDON,WC2H7JP,56102 - Unlicensed restaurants and cafes,,51.51185,-0.129332
556225,KARL MARX CAFE LIMITED,9 GREAT NEWPORT STREET,,LONDON,WC2H7JA,56102 - Unlicensed restaurants and cafes,,51.512112,-0.127751
219864,CHIPNATION LTD,10 ORANGE STREET,HAYMARKET,LONDON,WC2H7DQ,56102 - Unlicensed restaurants and cafes,,51.50908,-0.131128
517291,IRV-CATER LIMITED,16 IRVING STREET,,LONDON,WC2H7AU,56102 - Unlicensed restaurants and cafes,,51.509775,-0.129068
602021,LIFESTYLE-ORGANIC LTD,44 BEDFORD STREET,,LONDON,WC2E9HA,56102 - Unlicensed restaurants and cafes,,51.51016,-0.123724
705004,MYLK TRAIN LIMITED,44 BEDFORD STREET,,LONDON,WC2E9HA,56102 - Unlicensed restaurants and cafes,,51.51016,-0.123724
87329,APPLE BUTTER LIMITED,7 HENRIETTA STREET,C/O REDFERN LEGAL LLP,LONDON,WC2E8PS,56102 - Unlicensed restaurants and cafes,,51.511073,-0.123063
1004247,THE GYM CAFE LIMITED,30 THE PIAZZA,JUBILEE HALL TRUST THE PIAZZA COVENT GARDEN,LONDON,WC2E8BE,56102 - Unlicensed restaurants and cafes,,51.512061,-0.122965
427596,GOLDEN BOWL CHINESE FOOD LIMITED,C/O CHAN & CO,88 KINGSWAY,LONDON,WC2B6AA,56102 - Unlicensed restaurants and cafes,,51.517236,-0.11984
322563,ECCO BELLO LIMITED,186 DRURY LANE,,LONDON,WC2B5QD,56102 - Unlicensed restaurants and cafes,,51.516123,-0.123922
177754,BUBBLE N SQUEAK CAFE LTD,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,,51.515137,-0.121901
237709,COFFEE & JAM (SLOANE SQUARE) LTD,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,,51.515137,-0.121901
390417,FOUR MOON LIMITED,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,,51.515137,-0.121901
684758,MMF CATERING LTD,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,,51.515137,-0.121901
690962,MOONSTARS CATERING LIMITED,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,,51.515137,-0.121901
832328,RAIFE'S LTD,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,,51.515137,-0.121901
902427,SEVENSEAS HOSPITALITY SOLUTIONS LTD,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,,51.515137,-0.121901
1009623,THE NEW BRIDGE CAFE LIMITED,FIRST FLOOR OFFICE,34 GREAT QUEEN STREET,LONDON,WC2B5AA,56102 - Unlicensed restaurants and cafes,,51.515137,-0.121901
666579,MELLOWER COFFEE LONDON LIMITED,22 CHANCERY LANE,,LONDON,WC2A1LS,56102 - Unlicensed restaurants and cafes,,51.515483,-0.111481
369562,FEARLESS HAWKS LTD,144 - 146 KINGS CROSS ROAD,KING'S CROSS ROAD,LONDON,WC1X9DU,56102 - Unlicensed restaurants and cafes,,51.530448,-0.117177
6437,181 KINGS CROSS LIMITED,181 KING'S CROSS ROAD,,LONDON,WC1X9BZ,56102 - Unlicensed restaurants and cafes,,51.53045,-0.118445
993614,TFC FOODS LTD,181 KING'S CROSS ROAD,,LONDON,WC1X9BZ,56102 - Unlicensed restaurants and cafes,,51.53045,-0.118445
727031,NIVEN'S LIMITED,157 KING'S CROSS ROAD,,LONDON,WC1X9BN,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.529958,-0.116909
5749,17 FOOD LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,,51.523373,-0.11509
123775,BANNA LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,,51.523373,-0.11509
339556,EMROCK LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,,51.523373,-0.11509
386524,FOODS DESIGN LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,,51.523373,-0.11509
410483,GEM OF KENT LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,,51.523373,-0.11509
410927,GEMSTAR UK LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,,51.523373,-0.11509
583223,LACE (LONDON) LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,,51.523373,-0.11509
583629,LADY DELANEY'S LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,,51.523373,-0.11509
795037,PLEVNA LIMITED,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.523373,-0.11509
1027682,TNY LTD,99 GRAY'S INN ROAD,,LONDON,WC1X8TY,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.523373,-0.11509
671541,MEZO LIMITED,33 THEOBALDS ROAD,,HOLBORN,WC1X8SP,56102 - Unlicensed restaurants and cafes,,51.520043,-0.118283
454892,HAPPY DAYS RESTAURANTS LIMITED,247 GRAYS INN ROAD,LONDON,,WC1X8QZ,56102 - Unlicensed restaurants and cafes,,51.528547,-0.119764
1116779,YA2 LIMITED,"247, GRAY'S INN ROAD",,LONDON,WC1X8QZ,56102 - Unlicensed restaurants and cafes,,51.528547,-0.119764
229705,CLASS CHICKEN LTD,315 GRAY'S INN ROAD,,LONDON,WC1X8PX,56102 - Unlicensed restaurants and cafes,,51.530348,-0.121593
700780,MUNCH TIME LTD,"315 GRAY'S INN ROAD,",,"LONDON,",WC1X8PX,56102 - Unlicensed restaurants and cafes,,51.530348,-0.121593
948329,ST PANCRAS FISH & KEBAB LTD,327 GRAYS INN ROAD,,LONDON,WC1X8PX,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.530348,-0.121593
441241,GRILL MARKET LIMITED,10 THEOBALDS ROAD,,LONDON,WC1X8PN,56102 - Unlicensed restaurants and cafes,,51.521519,-0.113884
886109,SANO RESTAURANTS LIMITED,52-54 GRAYS INN ROAD,,LONDON,WC1X8LT,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.519924,-0.112004
177796,BUBBLEOLOGY UK - FRANCHISE LTD,14 GRAY'S INN ROAD,,LONDON,WC1X8HN,56102 - Unlicensed restaurants and cafes,,51.518925,-0.111382
177797,BUBBLEOLOGY UK - I LIMITED,14 GRAY'S INN ROAD,,LONDON,WC1X8HN,56102 - Unlicensed restaurants and cafes,,51.518925,-0.111382
177798,BUBBLEOLOGY UK - II LIMITED,14 GRAY'S INN ROAD,,LONDON,WC1X8HN,56102 - Unlicensed restaurants and cafes,,51.518925,-0.111382
177799,BUBBLEOLOGY UK - III LIMITED,14 GRAY'S INN ROAD,,LONDON,WC1X8HN,56102 - Unlicensed restaurants and cafes,,51.518925,-0.111382
177801,BUBBLEOLOGY UK - X LIMITED,14 GRAY'S INN ROAD,,LONDON,WC1X8HN,56102 - Unlicensed restaurants and cafes,,51.518925,-0.111382
79431,ANDREWS CAFE LTD,160 GRAY'S INN ROAD,,LONDON,WC1X8ED,56102 - Unlicensed restaurants and cafes,,51.522206,-0.113553
1124184,ZAIN AL SHAM LTD,90-92 GRAY'S INN ROAD,,LONDON,WC1X8AA,56102 - Unlicensed restaurants and cafes,,51.520988,-0.112724
962598,STUDHOLME LTD,11 HOLSWORTHY SQUARE,,LONDON,WC1X0AU,56102 - Unlicensed restaurants and cafes,,51.522711,-0.113647
194111,CAPITAL ARCHES GROUP LIMITED,5TH FLOOR,112 HIGH HOLBORN,LONDON,WC1V6JS,56102 - Unlicensed restaurants and cafes,,51.517967,-0.119338
67582,ALLS WELL THAT ENDS WELL LTD,TAXASSIST ACCOUNTANTS,31-33 HIGH HOLBORN,LONDON,WC1V6AX,56102 - Unlicensed restaurants and cafes,,51.518499,-0.113418
91421,ARCHY & MAFALDA LIMITED,TAXASSIST ACCOUNTANTS,31-33 HIGH HOLBORN,LONDON,WC1V6AX,56102 - Unlicensed restaurants and cafes,,51.518499,-0.113418
545922,JRC CAFES LIMITED,3 FIELD COURT,GRAYS INN,LONDON,WC1R5EF,56102 - Unlicensed restaurants and cafes,,51.519178,-0.114254
967424,SUNNY SIDE UP CAFE LIMITED,3 FIELD COURT,,LONDON,WC1R5EF,56102 - Unlicensed restaurants and cafes,56290 - Other food services,51.519178,-0.114254
286441,DELTA FB LTD,24 BEDFORD ROW,,LONDON,WC1R4TQ,56102 - Unlicensed restaurants and cafes,,51.520677,-0.116297
903006,SFIZIO LIMITED,24 BEDFORD ROW,,LONDON,WC1R4TQ,56102 - Unlicensed restaurants and cafes,,51.520677,-0.116297
133218,BECK'S CATERING LIMITED,28 RED LION STREET,HOLBORN,LONDON,WC1R4PS,56102 - Unlicensed restaurants and cafes,,51.51942,-0.116997
587764,LARA WORK ROOM LIMITED,37-41 BEDFORD ROW,,LONDON,WC1R4JH,56102 - Unlicensed restaurants and cafes,,51.519706,-0.116337
202291,CATERPILLARS CAFE LIMITED,26-28 BEDFORD ROW,,LONDON,WC1R4HE,56102 - Unlicensed restaurants and cafes,93290 - Other amusement and recreation activities n.e.c.,51.520323,-0.116672
248749,COOK & GARCIA RICHMOND LIMITED,1ST FLOOR,26-28 BEDFORD ROW,LONDON,WC1R4HE,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.520323,-0.116672
361277,EZRA MB LTD,26-28 BEDFORD ROW,,LONDON,WC1R4HE,56102 - Unlicensed restaurants and cafes,,51.520323,-0.116672
835689,RASA (MALAYSIA) LIMITED,GANNONS 20-21,JOCKEY'S FIELDS,LONDON,WC1R4BW,56102 - Unlicensed restaurants and cafes,,51.520398,-0.115717
994193,THAI DREAMS LIMITED,17 NEW NORTH STREET,BOSWELL COURT BLOOMSBURY,LONDON,WC1N3PJ,56102 - Unlicensed restaurants and cafes,,51.520954,-0.12012
367190,FARSEE LIMITED,68 LAMBS CONDUIT STREET,,LONDON,WC1N3LW,56102 - Unlicensed restaurants and cafes,,51.522069,-0.118445
137333,BENCO LIMITED,31-35 GREAT ORMOND STREET,,LONDON,WC1N3HZ,56102 - Unlicensed restaurants and cafes,,51.521746,-0.120188
1001709,THE ESPRESSO ROOM LONDON LTD,C/O THE ESPRESSO ROOM,31 - 35 GREAT ORMOND STREET,LONDON,WC1N3HZ,56102 - Unlicensed restaurants and cafes,,51.521746,-0.120188
1013127,THE SALAD KITCHEN LIMITED,21-27 LAMBS CONDUIT STREET,,LONDON,WC1N3GS,56102 - Unlicensed restaurants and cafes,,51.521069,-0.118299
146116,BILHAM LIMITED,24 BOSWELL STREET,LONDON,,WC1N3BW,56102 - Unlicensed restaurants and cafes,,51.520761,-0.120978
256487,CRAVE JERK LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,,51.520592,-0.12221
394978,FRESHLY CHOPPED (UK) LIMITED,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,,51.520592,-0.12221
396566,FROZEN MINT LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,,51.520592,-0.12221
402680,G.J.COFFEES (UK) LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.520592,-0.12221
507099,INSEKTEN LECKEREIEN LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.520592,-0.12221
573847,KOFFEE BEAN LIMITED,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,,51.520592,-0.12221
758460,OUCAST CAFES UK LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,85520 - Cultural education,51.520592,-0.12221
780219,PEPPERCORNS CATERING SERVICES LIMITED,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.520592,-0.12221
809662,PRISTINE GLOBAL LTD,"CROWN HOUSE, 27",OLD GLOUCESTER STREET,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,62020 - Information technology consultancy activities,51.520592,-0.12221
903873,SHADBOLT AND BLACK'S LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.520592,-0.12221
1006317,THE KETTLE AND DUTCH POT LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.520592,-0.12221
1010733,THE PARENT HOOD LTD,27 OLD GLOUCESTER STREET,,LONDON,WC1N3AX,56102 - Unlicensed restaurants and cafes,93290 - Other amusement and recreation activities n.e.c.,51.520592,-0.12221
947792,ST GEORGE'S HOLBORN LIMITED,ST GEORGE'S CHURCH,44 QUEEN SQUARE,LONDON,WC1N3AH,56102 - Unlicensed restaurants and cafes,,51.520946,-0.122412
372277,FGBF UK LTD,10 JOHN STREET,,LONDON,WC1N2EB,56102 - Unlicensed restaurants and cafes,,51.522259,-0.115165
380275,FIVE GUYS FOODS UK LIMITED,10 JOHN STREET,,LONDON,WC1N2EB,56102 - Unlicensed restaurants and cafes,,51.522259,-0.115165
188192,CAFE ROMANO LIMITED,11 GRENVILLE STREET,,LONDON,WC1N1LZ,56102 - Unlicensed restaurants and cafes,,51.523302,-0.122289
878797,SACERO LTD,11 GRENVILLE STREET,,LONDON,WC1N1LX,56102 - Unlicensed restaurants and cafes,,51.523485,-0.122625
146097,BILEN'S CAFE LTD,93 GUILFORD STREET,,LONDON,WC1N1DN,56102 - Unlicensed restaurants and cafes,,51.524423,-0.120006
116989,B AND P PARTNERS LIMITED,49 MARCHMONT STREET,,LONDON,WC1N1AP,56102 - Unlicensed restaurants and cafes,,51.524995,-0.125402
533594,JDT LONDON LTD,76 MARCHMONT STREET,,LONDON,WC1N1AG,56102 - Unlicensed restaurants and cafes,,51.526022,-0.125519
819501,PURE INTENTION LIMITED,15 THANET STREET,,LONDON,WC1H9QL,56102 - Unlicensed restaurants and cafes,,51.52745,-0.125233
976210,SYRUP OF SOOT LIMITED,15 THANET STREET,,LONDON,WC1H9QL,56102 - Unlicensed restaurants and cafes,,51.52745,-0.125233
221103,CHOWDHARY LIMITED,LYNTON HOUSE,7-12 TAVISTOCK SQUARE,LONDON,WC1H9LT,56102 - Unlicensed restaurants and cafes,,51.525382,-0.128241
582190,LA FAVORITA RESTAURANT LIMITED,GRIFFINS,TAVISTOCK HOUSE SOUTH,LONDON,WC1H9LG,56102 - Unlicensed restaurants and cafes,,51.526365,-0.128417
658466,MAZILAN LTD,97 JUDD STREET,,LONDON,WC1H9JG,56102 - Unlicensed restaurants and cafes,,51.527588,-0.125022
904205,SHAH TANDOORI RESTAURANT LTD,17 LEIGH STREET,,LONDON,WC1H9EW,56102 - Unlicensed restaurants and cafes,,51.526464,-0.125039
1061411,UPPER FLEET LTD,BASEMENT TAVISTOCK HOTEL BEDFORD WAY,BEDFORD WAY,LONDON,WC1H9EU,56102 - Unlicensed restaurants and cafes,,51.524241,-0.128317
799466,PORCUPINEICA LTD,LYNTON HOUSE,7-12 TAVISTOCK SQUARE,LONDON,WC1H9BQ,56102 - Unlicensed restaurants and cafes,,51.525391,-0.128241
601509,LIFE COFFEE LIMITED,16-18 WHIDBORNE ST,,LONDON,WC1H8EU,56102 - Unlicensed restaurants and cafes,56103 - Take-away food shops and mobile food stands,51.52842,-0.123662
1017971,THENGA CAFE LIMITED,120 CROMER STREET,,LONDON,WC1H8BS,56102 - Unlicensed restaurants and cafes,,51.527648,-0.124256
154161,BLOOMS CAFE LIMITED,5 BLOOMSBURY STREET,,LONDON,WC1B3QE,56102 - Unlicensed restaurants and cafes,,51.517105,-0.127398
